Overview,Website,Industry,Company Size,Headquarters,Founded,Specialties,Company Name,LinkedIn URL
"MobiKwik is India's leading FinTech platform, offering a wide range of financial products for both consumers and merchants, including payments, digital credit, and investments. 

We are a technology-first company leveraging big data analytics and deep data science (including machine learning) to continuously delight users and merchants on our platform. Our mission is to build a world class payments and credit product for Bharat!

Founded in 2009 by Bipin Preet Singh and Upasana Taku, MobiKwik has grown to become a platform trusted by 172 million+ Indians. Our users can easily make payments for their everyday needs, such as utility bills, e-commerce, food delivery, and shopping at small and large retail chains, as well as mom-and-pop(Kirana) stores across our 4.5 million+ merchants.

For more information: https://www.mobikwik.com",https://www.mobikwik.com/,Financial Services,"501-1,000 employees","Gurugram, Haryana",2009,"Consumer Payments, Mobile Wallet, Buy Now Pay Later, Payment Gateway, Recharge, Bill Payments, Money Transfer, BHIM UPI, Mutual Funds, and Digital Gold",MobiKwik,https://www.linkedin.com/company/mobikwik/
"The National Stock Exchange of India Limited, India’s largest stock exchange & world’s largest derivatives exchange. Follow us for updates on exchange traded products, insight on capital markets, Indian economy and  investor education. Disclaimer - https://bit.ly/3xgvlFQ",http://www.nseindia.com/,Capital Markets,"501-1,000 employees","Mumbai, Maharastra",N/A,N/A,National Stock Exchange,https://www.linkedin.com/company/nseindia/
"Mobile Premier League (MPL), the largest skill-gaming platform in India, allows users to participate in free as well as paid competitions across 60+ games in multiple categories, including fantasy sports, sports games, puzzle, casual and board games. Founded in 2018, MPL hosts hundreds of millions of tournaments a month and is trusted by over 120 million registered users in India, United States and Nigeria. 

To learn more about MPL, please visit www.mpl.live.",https://www.mpl.live/,Internet Publishing,"1,001-5,000 employees","Bengaluru East, Karnataka",N/A,N/A,Mobile Premier League,https://www.linkedin.com/company/mobile-premier-league/
"Founded in 2018 with a bold vision, Pocket FM set out to revolutionize the entertainment landscape by pioneering the audio series category. Our unique episodic style has ignited a binge-listening revolution, with users spending an average of 115 minutes daily on the platform. Our thriving community of over 200 million listeners streams over 6.5 billion minutes every month.

Boasting more than 35,000 audio series, we are driven by a talented community of 250,000+ writers worldwide. As a Series D-stage company, we have raised $196.5 million from notable investors, including Lightspeed, Stepstone, Tanglin Venture Partners, and Goodwater Capital.

Today, we are the largest audio series platform globally, redefining how the world experiences stories—one episode at a time! Join us in our journey to recreate the future of entertainment.",https://www.pocketfm.com/,Entertainment Providers,"501-1,000 employees",N/A,2018,N/A,Pocket FM,https://www.linkedin.com/company/pocket-fm/
"Addverb is at the global forefront of delivering innovation in robotics and automation, with a vision of pioneering human-robot collaboration. We empower businesses across diverse industries and geographies to revolutionise their intralogistics and supply chains by serving as a single source for both fixed and flexible automation solutions. We design and manufacture intelligent robots that are powered by our robust modular software suite, all developed in-house.

Founded in 2016, Addverb has grown rapidly from its humble beginnings in Delhi NCR, India, to 15 global offices. We serve global clients across regions including but not limited to India, the USA, Southeast Asia, Europe, the Middle East, and Australia.
 
Our esteemed clients—including Maersk, DHL, Reliance Group, PepsiCo, and Mondial Relay—leverage our warehouse automation solutions to:

1. Cut delivery time by 3x with our Mobile Robots
2. Increase floor space utilisation by 85% with Automated Storage and Retrieval System
3. Manage order fulfilment and returns smoothly with Sorting Robots
4. Achieve a pick accuracy of 99.99% with Picking Robots
 
Our latest innovations in advanced robotics include:

1. Trakr, Assistive Robot Dog: Excels in facility inspections, patrols, and surveillance
2. Heal, Medical Cobot: Transforms healthcare with an innovative approach to rehabilitation and imaging
3. Exoskeleton: Provides wearable robotic assistance for upper limb support
4. Humanoid: Next-gen robotics for human-centric tasks
5. Syncro, Cobot: Engineered for collaborative operations
 
Our global headquarters is in Delhi NCR, India.
US Headquarters in Irvine, California.
EMEA Headquarters in Zoetermeer, the Netherlands.
Research facilities are based in California, USA, and Delhi NCR, India.",https://addverb.com/,Automation Machinery Manufacturing,"501-1,000 employees","Noida, Uttar Pradesh",2016,"Warehouse Automation, Consultancy, Robotics, Software (WMS/WCS/MES) IOT, Industrial IoT, Intralogistics Automation, Automation, Warehouse Operations, and supply chain",Addverb,https://www.linkedin.com/company/addverb/
"Company Vision: 'To be the one-stop destination for smarter solutions related to all property needs'
Now follow Magicbricks on https://bit.ly/2Qva9XG

Life @ Magicbricks: Magicbricks offers you a culture that is all about 
innovation and winning. It challenges you and brings out the absolute best out of you. The dynamism here is such that it brings out the next level in you, unleashing your true potential much more than you have ever imagined. This will eventually turn you into a high-performer who is full of ideas, solutions and unmatchable confidence. 

About the Business: Magicbricks.com is India’s No 1 Property Site and has been adjudged as the most preferred site in India, by independent surveys. We provide a platform for buyers & sellers to locate properties of interest & source information on real estate that can be of use to all.

For opportunities to work at magicbricks, explore https://www.magicbricks.com/careers/index.html",http://www.magicbricks.com/,Real Estate,"501-1,000 employees","Noida, Uttar Pradesh",2006,"Real Estate, Property Buying, Property Selling, Property Renting, Luxury Homes, Affordable Homes, Budget Homes, Property Advice, Residential Properties, Commercial Properties, Property Deals, Real Estate Discussion Forum, Legal property services, Vaastu Services, Property Auctions, and MBTV",Magicbricks,https://www.linkedin.com/company/magicbricks/
"At Cashfree Payments, we’re not just shaping the future of payments - we’re moving fast to help scale businesses of all sizes at different stages of their growth journeys.

Founded in 2015, we process transactions worth $80B annually and are trusted by more than 800,000 businesses. Authorised by the Reserve Bank of India, we are one of the first entities to receive critical licences like PA-PG, PA-CB and PPI in the sector. We enable seamless collections, payouts, identity verification, and fraud detection.

We are backed by Silicon Valley investor Y Combinator, Apis Partners, KRAFTON Inc, State Bank of India (SBI), and were incubated by PayPal.",http://www.cashfree.com/,Financial Services,"501-1,000 employees","Bangalore, Karnataka",2015,"Payment Gateway, Invoicing, Maketplace Settlements, IMPS, NEFT, RTGS, Internet Banking, UPI, Escrow Account, API Banking, payouts, fintech, Y combinator, startups, Entrepreneur, innovation, payments, online business, upi autopay, growth, and Technology",Cashfree Payments,https://www.linkedin.com/company/cashfree/
"Looking to provide insurance solutions for your business or for your customers? Look no further! Zopper's Insurance Infrastructure APIs will enable insurance solutions for you in no time. Right from creating a customised insurance plan for you and your customers, to providing the right APIs, we offer a complete product solution. We partner with Lifestyle, Digital and Financial Ecosystem companies to offer bespoke and off-the-shelf insurance solutions.",https://www.zopper.com/,Insurance,"501-1,000 employees","Noida, Uttar Pradesh",2011,N/A,Zopper,https://www.linkedin.com/company/zopper/
"Shiprocket is India’s largest eCommerce enablement platform providing digital retailers an end-to-end customer experience platform. The platform which is creating an operating system for direct commerce enables shipping, fulfillment, customer communication and marketing tools as well as providers for SMEs, D2C retailers, and social commerce retailers in India. With 25+ courier partners on board, the brand enables pan-India as well as international shipping deliveries. Its shipping solutions are available across 24,000+ pin codes within India and 220 countries worldwide.

Launched in 2017, Shiprocket is on a mission to create a seamless logistics data platform that connects retailers, carriers, and consumers across national and international locations. Shiprocket provides a technology stack to help retailers integrate their shopping websites on Shopify, Magento, Woocommerce, Zoho, or others with the platform’s multi-carrier API to manage orders, print shipping labels, and avail tracking information from multiple providers including managing Cash on Delivery (COD) orders and payment reconciliation. Shiprocket also offers state-of-the-art fulfillment solutions with more than 35+ warehouses located across India. The technology stack provides a robust post-purchase experience to consumers, resulting in higher engagement and lower RTO (failed deliveries).

Today, Shiprocket is the platform behind 2.5 lakh plus sellers who generate a GMV of more than $2.5B annually. The platform delivers packets to more than 70M consumers annually and is growing transactions 2.5-3X year on year.",https://www.shiprocket.in/?utm_source=Linkedin&utm_medium=social,"Technology, Information and Internet","501-1,000 employees","New Delhi , Delhi",2012,"Ecommerce Shipping, Automated Shipping, Domestic Shipping, Global Ecommerce Shipping, B2B Shipping, Customer Experience Tools, and Conversion Tools",Shiprocket,https://www.linkedin.com/company/shiprocket/
"Orange Health is India's leading on-demand diagnostic lab. 

Our vision is to make healthcare seamless for consumers in their homes by enabling doctors to treat their patients in real-time.
To do this, we provide 60 min at-home testing for over 2,000 tests along with fast results.

Consumers love this, and have rated Orange Health 4.9/5 on Google - among the highest-rated diagnostic labs in India!

We combine the latest consumer tech experience with the veracity of high-quality healthcare, giving consumers a mind-blowing experience, where they say 'its easier than ordering a pizza'
Launched in Bangalore, Gurgaon & Noida. Coming soon to every city!

Backed by leading global investors, we have a team of experienced leaders, operators, engineers, medical professionals, and more - all of whom love making healthcare better for people like you and us!

We are a team that loves our work and play. We love people with varied interests. We have hockey players, pianists, competitive swimmers, marathoners, science geeks, gamers, mountaineers, sailors, models, bikers, singers, boxers, vada-pav lovers, coffee afficionados, chocoholics and more. 
Come add to this list!",http://www.orangehealth.in/,Hospitals and Health Care,"501-1,000 employees","Bangalore, Karnataka",2020,"Diagnostics, At-home healthcare, Technology, and Startups",Orange Health Labs,https://www.linkedin.com/company/orange-health/
